name,ID,B_vs_A_p.val,C_vs_A_p.val,B_vs_A_p.adj,C_vs_A_p.adj,B_vs_A_significant,C_vs_A_significant,significant,B_vs_A_ratio,C_vs_A_ratio,A_centered,B_centered,C_centered
A0A0G2K2P5,A0A0G2K2P5,0.00313471290507021,0.000809775813039554,1,1,TRUE,TRUE,TRUE,1.62,2.04,-1.22,0.402,0.819
Aars,P50475,0.134309692988956,0.0143120591360243,1,1,FALSE,TRUE,TRUE,0.377,0.709,-0.362,0.0148,0.347
Acat2,Q5XI22,0.209637871464044,0.0282418868994045,1,1,FALSE,TRUE,TRUE,0.394,0.776,-0.39,0.00401,0.386
Acbd3,Q7TNY6,0.106961716717011,0.00193517835660197,1,1,TRUE,TRUE,TRUE,2.03,5.13,-2.39,-0.355,2.74
Acot7,Q64559-1,7.70709338517523e-08,2.75255697683441e-08,1,1,TRUE,TRUE,TRUE,1.95,2.23,-1.39,0.554,0.838
Acsl3,Q63151,0.559665821607741,0.0306522503674138,1,1,FALSE,TRUE,TRUE,0.275,1.19,-0.489,-0.214,0.703
Actn1,Q9Z1P2,0.824361500043339,0.03633301591535,1,1,FALSE,TRUE,TRUE,0.0606,0.668,-0.243,-0.182,0.425
Actr1a,P85515,0.11649000760906,0.00245139153185251,1,1,TRUE,TRUE,TRUE,1.31,3.27,-1.53,-0.218,1.75
Actr2,Q5M7U6,0.637724353775412,0.0120943622031291,1,1,FALSE,TRUE,TRUE,0.157,1.05,-0.402,-0.245,0.647
Actr3,Q4V7C7,0.0165951291078252,0.00720772230259487,1,1,TRUE,TRUE,TRUE,0.661,0.786,-0.482,0.179,0.303
Acy1a,Q6AYS7,0.232635272054088,0.0152489647592183,1,1,TRUE,TRUE,TRUE,0.612,1.47,-0.693,-0.0812,0.774
Adam10,Q10743,0.220389483870255,0.00778904632329201,1,1,FALSE,TRUE,TRUE,0.387,1.04,-0.474,-0.0872,0.561
Add1,Q63028,0.0298923987866081,0.0398054131081349,1,1,TRUE,TRUE,TRUE,1.76,1.64,-1.13,0.629,0.504
Agps,Q9EQR2,0.669704932308407,0.0345639972486025,1,1,FALSE,TRUE,TRUE,0.178,1.03,-0.403,-0.225,0.628
Akr1b7,Q5RJP0,0.880708850116743,0.0454192872377029,1,1,FALSE,TRUE,TRUE,0.133,2.04,-0.724,-0.591,1.31
Aldh1l1,P28037,0.117839409517305,0.00138489005805361,1,1,TRUE,TRUE,TRUE,0.768,2.13,-0.965,-0.197,1.16
Aldh7a1,Q64057,7.95214633164309e-10,6.68680015376903e-10,1,1,TRUE,TRUE,TRUE,3.79,3.87,-2.55,1.23,1.32
Amdhd2,Q5BJY6,0.0263566208095955,0.0226373856454393,1,1,TRUE,TRUE,TRUE,1.95,2.02,-1.32,0.625,0.696
Apoa1bp,B0BNM1,3.77175281282117e-10,2.16045605783839e-10,1,1,TRUE,TRUE,TRUE,3.2,3.44,-2.21,0.985,1.23
Arcn1,Q66H80,0.0261312423807531,0.0214554827094547,1,1,TRUE,TRUE,TRUE,4.3,4.51,-2.94,1.37,1.57
