"","ID","human_entrez","name","B_vs_A_p.val","C_vs_A_p.val","B_vs_A_p.adj","C_vs_A_p.adj","B_vs_A_significant","C_vs_A_significant","significant","B_vs_A_ratio","C_vs_A_ratio","A_centered","B_centered","C_centered"
"1","A0AV96",54502,"RBM47",0.57142810412668,0.595857700182372,1,0.0141,FALSE,FALSE,FALSE,0.128,0.12,-0.0828,0.0454,0.0374
"2","A0AVT1",55236,"UBA6",0.918345011687491,0.250821022134299,1,0.000681,FALSE,FALSE,FALSE,0.0232,0.26,-0.0944,-0.0712,0.166
"3","A0FGR8",57488,"ESYT2",0.253696379143529,0.100473098823382,1,2.32e-05,FALSE,FALSE,FALSE,0.259,0.372,-0.21,0.0483,0.162
"4","A0MZ66",57698,"KIAA1598",0.665493741126375,0.109673041379095,1,3.23e-05,FALSE,FALSE,FALSE,0.0979,0.362,-0.153,-0.0555,0.209
"5","A0PJW6",79064,"TMEM223",0.436933475618981,0.10570487336858,1,2.81e-05,FALSE,FALSE,FALSE,0.176,0.366,-0.181,-0.00476,0.186
"6","A1L0T0",10994,"ILVBL",0.272905624802538,0.0562693702475242,1,2.29e-06,FALSE,FALSE,FALSE,0.248,0.432,-0.227,0.0214,0.205
"7","A1X283",285590,"SH3PXD2B",0.285877167678004,0.295458697585984,1,0.00123,FALSE,FALSE,FALSE,0.242,0.237,-0.16,0.0822,0.0774
"8","A2RRD8",162967,"ZNF320",0.606061096164454,0.436920932381988,1,0.00493,FALSE,FALSE,FALSE,0.117,0.176,-0.0976,0.0192,0.0784
"9","A2RRP1",51594,"NBAS",0.322929884051482,0.127785743126816,1,5.79e-05,FALSE,FALSE,FALSE,0.224,0.345,-0.19,0.0343,0.155
"10","A3KN83",55206,"SBNO1",0.0286745564959155,0.914991140369753,1,0.0497,FALSE,FALSE,FALSE,-0.496,-0.0242,0.173,-0.322,0.149
"11","A4D1E9",85865,"GTPBP10",0.210487002461972,0.0542470387129538,1,1.98e-06,FALSE,FALSE,FALSE,0.284,0.436,-0.24,0.0438,0.196
"12","A5PLN9",80006,"TRAPPC13",0.86637888012724,0.312384099175061,1,0.0015,FALSE,FALSE,FALSE,0.0381,0.229,-0.089,-0.0509,0.14
"13","A5YKK6",23019,"CNOT1",0.803259855278768,0.174848829923043,1,0.000185,FALSE,FALSE,FALSE,0.0564,0.307,-0.121,-0.0648,0.186
"14","A6ND36",644815,"FAM83G",0.209217055415655,0.0476239023417899,1,1.17e-06,FALSE,FALSE,FALSE,0.284,0.449,-0.244,0.0401,0.204
"15","A6NDG6",283871,"PGP",0.285785675827656,0.0888493731286601,1,1.44e-05,FALSE,FALSE,FALSE,0.242,0.385,-0.209,0.0327,0.176
"16","A6NDU8",285636,"C5orf51",0.452095167910188,0.0195702178798407,1,2.58e-08,FALSE,FALSE,FALSE,0.17,0.529,-0.233,-0.0627,0.296
"17","A6NFQ2",285966,"TCAF2",0.763835973488654,0.2423010091349,1,6e-04,FALSE,FALSE,FALSE,-0.068,0.265,-0.0656,-0.134,0.199
"18","A6NHR9",23347,"SMCHD1",0.550307485157284,0.25813781520774,1,0.000757,FALSE,FALSE,FALSE,0.135,0.256,-0.13,0.00482,0.126
"19","A6NIH7",84747,"UNC119B",0.441300354088116,0.0158143468478682,1,1.01e-08,FALSE,FALSE,FALSE,0.174,0.547,-0.24,-0.0659,0.306
"20","A6NKT7",653489,"RGPD3",0.156043615366943,0.367506524619891,1,0.00267,FALSE,FALSE,FALSE,0.321,0.204,-0.175,0.146,0.029
"21","E9PRG8",102288414,"C11orf98",0.347485742971015,0.664268723319733,1,0.02,FALSE,FALSE,FALSE,0.213,0.0983,-0.104,0.109,-0.00539
"22","O00116",8540,"AGPS",0.603352839866171,0.135009321078727,1,7.13e-05,FALSE,FALSE,FALSE,0.118,0.339,-0.152,-0.0344,0.186
"23","O00139",3796,"KIF2A",0.662326386903865,0.407666432687896,1,0.00386,FALSE,FALSE,FALSE,-0.0989,0.188,-0.0295,-0.128,0.158
"24","O00148",10212,"DDX39A",0.466905586472945,0.24302225725303,1,0.000606,FALSE,FALSE,FALSE,0.165,0.264,-0.143,0.0217,0.121
"25","O00151",9124,"PDLIM1",0.637264361230222,0.323506114765367,1,0.00169,FALSE,FALSE,FALSE,0.107,0.224,-0.11,-0.00334,0.113
"26","O00154",11332,"ACOT7",0.35883102830437,0.128210562809802,1,5.86e-05,FALSE,FALSE,FALSE,0.208,0.345,-0.184,0.0237,0.16
