"","ID_uniprot","GeneID_entrez"
"3282","A0AV96",54502
"4154","A0AVT1",55236
"1436","A0FGR8",57488
"2060","A0MZ66",57698
"3985","A0PJW6",79064
"1966","A1L0T0",10994
"3584","A1X283",285590
"4403","A2RRD8",162967
"2507","A2RRP1",51594
"3486","A3KN83",55206
"1763","A4D1E9",85865
"4057","A5PLN9",80006
"968","A5YKK6",23019
"1499","A6ND36",644815
"2878","A6NDG6",283871
"746","A6NDU8",285636
"3900","A6NFQ2",285966
"3664","A6NHR9",23347
"4213","A6NIH7",84747
"3311","A6NKT7",653489
"726","E9PRG8",102288414
"414","O00116",8540
"2072","O00139",3796
"1161","O00148",10212
"2834","O00151",9124
"364","O00154",11332
"2474","O00159",4641
"3679","O00161",8773
"431","O00170",9049
"1762","O00178",9567
"3824","O00186",6814
"3645","O00193",10944
"3205","O00194",5874
"515","O00203",8546
"2559","O00217",4728
"3120","O00231",5717
"3121","O00232",5718
"3131","O00233",5715
"613","O00244",475
"2293","O00255",4221
"2879","O00264",10857
"3839","O00267",6829
"3864","O00268",6874
"1188","O00273",1676
"1815","O00291",3092
"936","O00299",1192
"1346","O00303",8665
"298","O00308",11060
"2828","O00330",8050
"1139","O00399",10671
"4313","O00401",8976
"1989","O00410",3843
"191","O00411",5442
"1954","O00425",10643
"1251","O00429",10059
"3453","O00442",8634
"1950","O00458",3475
"2905","O00459",5296
"1699","O00461",27333
"2223","O00462",4126
"7","O00468",375790
"2932","O00469",5352
"1450","O00471",10640
"2535","O00483",4697
"3123","O00487",10213
"691","O00499",274
"2087","O00505",3839
"2102","O00515",3898
"2850","O00541",23481
"230","O00560",6386
"2913","O00562",9600
"2347","O00566",10199
"2633","O00567",10528
"1163","O00571",1654
"3328","O00584",8635
"2910","O00625",8544
"2088","O00629",3840
"3038","O00743",5537
"2222","O00754",4125
"284","O00762",11065
"177","O00764",8566
"3494","O00767",6319
"192","O14494",8611
"557","O14497",8289
"4052","O14545",10906
"1023","O14548",9167
"1918","O14558",126393
"2540","O14561",4706
"999","O14579",11316
"1328","O14602",9086
"516","O14617",8943
"822","O14618",9973
"340","O14639",3983
"4026","O14656",1861
"267","O14657",27348
"3819","O14662",8675
"390","O14672",102
"1326","O14681",9538
"3150","O14684",9536
"2819","O14737",9141
"3073","O14744",10419
"3635","O14745",9368
"268","O14773",1200
"3904","O14776",10915
"2652","O14786",8829
"265","O14787",30000
"189","O14802",11128
"3102","O14818",5688
"3491","O14828",10067
"2727","O14841",26873
"681","O14874",10295
"1947","O14879",3437
"2308","O14880",4259
"1630","O14893",8487
"3882","O14907",30851
"1650","O14908",10755
"114","O14920",3551
"1782","O14929",8520
"4168","O14933",9246
"781","O14936",8573
"4228","O14949",27089
"289","O14957",10975
"1810","O14964",9146
"656","O14965",6790
"1274","O14972",10311
"3017","O14974",4659
"3619","O14975",11001
"1596","O14976",2580
"1869","O14979",9987
"4348","O14980",7514
"716","O14981",9044
"553","O15013",9639
"3740","O15020",6712
"2939","O15031",23654
"4147","O15042",23350
"2073","O15066",9371
"2856","O15067",5198
"485","O15084",23243
"2053","O15091",9692
"916","O15111",1147
"2186","O15116",27257
"2637","O15118",4864
"1182","O15121",8560
"3490","O15126",9522
"225","O15127",10066
"575","O15143",10095
"576","O15144",10109
"577","O15145",10094
"688","O15155",10282
"2966","O15160",9533
"4064","O15164",8805
"2880","O15173",10424
"4280","O15195",50853
"2861","O15212",10471
"4329","O15213",9277
"2597","O15226",55922
"1689","O15228",8443
"4400","O15231",7739
"937","O15247",1193
"3843","O15260",6836
"3741","O15269",10558
"3742","O15270",9517
"2724","O15294",8473
"2943","O15305",5373
"3959","O15321",10548
"1977","O15327",8821
"144","O15344",4281
"1855","O15347",3149
"3009","O15355",5496
"1979","O15357",3636
"1344","O15371",8664
"1348","O15372",8667
"2708","O15381",4931
"678","O15382",587
"693","O15392",332
"1991","O15397",10526
"3601","O15427",9123
"3625","O15431",1317
"837","O15446",10849
"2755","O15460",8974
"772","O15484",726
"4367","O15498",10652
"579","O15511",10092
