Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
A2A8U2;A2A8U2-2;A2A8U2-3	A2A8U2;A2A8U2-2;A2A8U2-3	1;1;1	1;1;1	1;1;1	Transmembrane protein 201	Tmem201	sp|A2A8U2|TM201_MOUSE Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1;sp|A2A8U2-2|TM201_MOUSE Isoform 2 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2-3|TM201_MOUSE Isoform 3 of Transmembrane protein 201 	3	1	1	1	1.4	1.4	1.4	72.499	664	664;392;634	5					1				0	3.5345	2532100	1316200	2434200	1307000	1301400	888930	11331	846100	939080	1221400	2386800	1230700	2466200	1321400	1345800	931430	109610	888750	878060	1165300	2	2	2	2	2	2	2	2	2	2	85511000	2				0	999	TRUE	1061	2841	2995;2996	2996			-1;-1;-1
A2AAJ9	A2AAJ9	4	4	4	Obscurin	Obscn	sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3	1	4	4	4	3.1	3.1	3.1	966.58	8886	8886	6.5					1	1	1	1	0	38.612	5601800	5261300	7713900	9237400	8161000	3495700	84855	5656400	4922100	6561200	5293600	4953100	7723300	8996900	8028300	3982000	669610	5755000	4603200	6299400	5	5	5	5	5	5	5	5	5	5	1350900000	5				1	347;3415;4491;6981	True;True;True;True	370;3638;4788;7408	1009;9580;12599;19428	1049;1050;10049;13249;20267	1049;10049;13249;20267			-1
A2ABU4	A2ABU4	3	3	3	Myomesin-3	Myom3	sp|A2ABU4|MYOM3_MOUSE Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1	1	3	3	3	2.9	2.9	2.9	161.78	1439	1439	5.57				2	2	1	1	1	0	10.469	33420000	10642000	24591000	16683000	17636000	9744400	138270	8804200	8762500	12307000	31460000	10002000	25473000	16390000	17779000	10346000	1301500	9268100	8192600	11751000	5	5	5	5	5	5	3	5	5	5	2176900000	5				2	3547;5099;9608	True;True;True	3783;5420;10189	10009;14330;26467;26468;26469;26470;26471	10519;15048;27704;27705;27706	10519;15048;27704			-1
A2AIL4	A2AIL4	1	1	1	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6"	Ndufaf6	"sp|A2AIL4|NDUF6_MOUSE NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 OS=Mus musculus OX=10090 GN=Ndufaf6 PE=1 SV=1"	1	1	1	1	3	3	3	38.362	333	333	8								1	0.0039526	1.5672	7094000	2572900	5973500	3142300	3496300	2744800	71873	1983300	2535500	3140200	6682200	2410800	6111800	3143900	3585800	2803300	333790	2128600	2372300	2989100	1	1	1	1	1	1	1	1	1	1	138430000	1				3	486	TRUE	513	1346	1396	1396			-1
A2AN08;A2AN08-5;A2AN08-2;A2AN08-3	A2AN08;A2AN08-5;A2AN08-2;A2AN08-3	1;1;1;1	1;1;1;1	1;1;1;1	E3 ubiquitin-protein ligase UBR4	Ubr4	sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1;sp|A2AN08-5|UBR4_MOUSE Isoform 5 of E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4;sp|A2AN08-2|UBR4_MOUSE Isoform 2 of E3 ubiquitin-protein 	4	1	1	1	0.2	0.2	0.2	572.28	5180	5180;5208;2021;5156	5					1				0	4.7577	1735500	701960	1436000	860420	896630	611960	0	538470	590600	783590	1634600	657740	1471900	858320	913690	637590	57980	568370	551630	747440	1	1	1	1	1	1	0	1	1	1	82605000	1				4	13663	TRUE	14589	37635	39103	39103			-1;-1;-1;-1
A2APT9	A2APT9	7	7	7	Kelch domain-containing protein 7A	Klhdc7a	sp|A2APT9|KLD7A_MOUSE Kelch domain-containing protein 7A OS=Mus musculus OX=10090 GN=Klhdc7a PE=1 SV=3	1	7	7	7	15.5	15.5	15.5	83.589	773	773	3.56	3	3	4	3				3	0	82.696	24985000	10296000	21873000	12214000	12453000	9687100	29232	9372700	10995000	14003000	23539000	9643700	22312000	12225000	12798000	10026000	1003700	9847500	10276000	13348000	14	14	14	14	14	14	7	14	14	14	3412500000	15				5	398;4435;5107;5712;9617;11959;13733	True;True;True;True;True;True;True	423;4729;5428;6066;10198;12780;14664	1128;1129;12446;12447;14348;14349;16005;16006;16007;16008;16009;16010;26484;32957;37841;37842	1167;13091;15065;15066;16745;16746;16747;16748;16749;16750;16751;27718;34259;39332;39333	1167;13091;15066;16750;27718;34259;39332			-1
A2AQ14	A2AQ14	1	1	1	Protein Mis18-beta	Oip5	sp|A2AQ14|MS18B_MOUSE Protein Mis18-beta OS=Mus musculus OX=10090 GN=Oip5 PE=2 SV=1	1	1	1	1	2.9	2.9	2.9	26.861	241	241	6						1			1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	+			6	9713	TRUE	10298	26716	27954	27954	0	1	-1
A2ASQ1;A2ASQ1-3;A2ASQ1-2	A2ASQ1;A2ASQ1-3;A2ASQ1-2	1;1;1	1;1;1	1;1;1	Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment	Agrn	sp|A2ASQ1|AGRIN_MOUSE Agrin OS=Mus musculus OX=10090 GN=Agrn PE=1 SV=1;sp|A2ASQ1-3|AGRIN_MOUSE Isoform 3 of Agrin OS=Mus musculus OX=10090 GN=Agrn;sp|A2ASQ1-2|AGRIN_MOUSE Isoform 2 of Agrin OS=Mus musculus OX=10090 GN=Agrn	3	1	1	1	0.6	0.6	0.6	207.54	1950	1950;1867;1928	5					1				0.00046468	2.2464	2972400	1419600	2768700	1732700	1846700	1145100	0	1072600	1084300	1695800	2801400	1330100	2816300	1727500	1871500	1202500	113060	1133200	1012600	1614200	2	2	2	2	2	2	0	2	2	2	98850000	2				7	4921	TRUE	5234	13775	14471;14472	14472			-1;-1;-1
A2ASS6;A2ASS6-2;REV__A2ASS6	A2ASS6;A2ASS6-2	421;346;1	421;346;1	388;313;1	Titin	Ttn	sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1;sp|A2ASS6-2|TITIN_MOUSE Isoform 2 of Titin OS=Mus musculus OX=10090 GN=Ttn	3	421	421	388	16.4	16.4	15.1	3906.4	35213	35213;26886;35213	4.82	55	68	71	71	83	79	106	79	0	323.31	1674200000	896280000	1369900000	2436600000	1649100000	448040000	22289000	777530000	812160000	1047600000	1576800000	850930000	1417100000	2328000000	1612000000	588930000	128870000	797790000	759630000	1001300000	555	553	554	549	554	547	355	555	555	555	1.2267E+11	623				8	14;45;123;165;210;229;233;234;238;294;359;370;400;401;547;564;570;617;620;621;622;832;897;898;1011;1022;1105;1119;1127;1129;1186;1205;1209;1212;1242;1246;1281;1285;1339;1457;1459;1490;1586;1587;1588;1618;1633;1636;1650;1716;1771;1775;1777;1778;1782;1835;1863;2098;2216;2285;2429;2521;2526;2589;2607;2629;2648;2683;2690;2804;2825;2875;2926;2933;2992;3066;3117;3126;3166;3228;3233;3234;3250;3272;3376;3406;3454;3527;3537;3543;3549;3565;3567;3568;3616;3660;3661;3693;3734;3735;3739;3742;3743;3761;3763;3852;3904;3959;4058;4065;4101;4110;4270;4326;4467;4529;4549;4588;4610;4616;4639;4667;4827;4867;4874;4884;5085;5090;5098;5102;5103;5104;5106;5222;5317;5353;5416;5492;5495;5540;5541;5543;5545;5546;5569;5571;5572;5575;5577;5615;5630;5631;5651;5669;5690;5762;5848;5922;5923;5938;6007;6235;6291;6344;6357;6361;6406;6410;6421;6554;6609;6625;6735;6791;6812;6839;6865;6897;6917;6941;6989;7037;7056;7111;7114;7116;7124;7125;7126;7134;7147;7185;7197;7199;7284;7378;7409;7446;7477;7527;7541;7544;7559;7600;7632;7637;7641;7688;7702;7735;7736;7938;7939;8041;8146;8194;8233;8406;8408;8449;8467;8476;8497;8508;8550;8606;8614;8630;8701;8718;8720;8770;8798;8852;8877;8908;8963;9002;9004;9013;9127;9139;9279;9293;9327;9328;9330;9354;9368;9375;9376;9386;9387;9392;9394;9422;9430;9579;9583;9647;9812;9930;9941;10128;10239;10263;10332;10524;10611;10635;10642;10672;10676;10777;10839;10896;11197;11213;11236;11237;11280;11281;11321;11327;11402;11674;11770;11777;11800;11972;12070;12094;12110;12128;12134;12135;12139;12152;12153;12163;12192;12195;12220;12347;12400;12413;12451;12506;12564;12594;12643;12672;12693;12788;12824;12888;12893;12908;12925;13007;13008;13009;13052;13053;13134;13136;13154;13187;13202;13208;13242;13253;13254;13256;13271;13281;13282;13283;13284;13418;13471;13490;13493;13498;13500;13569;13574;13597;13605;13606;13608;13609;13610;13611;13612;13613;13614;13616;13662;13717;13757;13782;13805;13847;13855;13856;13863;13868;13884;13885;13889;13923;13958;13967;13984;13985;13986;13997;14004;14005;14026;14027;14049;14054;14058;14060;14065;14074;14076;14077;14078;14079;14080;14081;14086;14104;14115;14121;14197;14206;14221;14306;14311;14312;14390;14463;14617;14618;14622;14632;14634;14635;14637;14638;14674;14828;14847;14852;14867;14874;14881	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	14;46;133;177;223;242;246;247;251;313;382;394;425;426;577;595;601;654;657;658;659;883;953;954;1074;1090;1178;1193;1201;1203;1271;1299;1304;1308;1343;1347;1384;1388;1442;1563;1565;1597;1697;1698;1699;1729;1745;1748;1762;1832;1891;1895;1897;1898;1902;1960;1989;2245;2369;2442;2596;2704;2709;2773;2793;2818;2837;2872;2879;2999;3022;3077;3131;3138;3199;3275;3329;3338;3380;3447;3452;3453;3470;3492;3599;3629;3677;3762;3773;3779;3785;3806;3808;3809;3859;3905;3906;3940;3981;3982;3986;3989;3990;4008;4010;4107;4162;4220;4324;4335;4374;4386;4553;4611;4764;4828;4849;4889;4911;4917;4940;4970;5138;5180;5187;5197;5405;5411;5419;5423;5424;5425;5427;5544;5642;5689;5755;5836;5839;5887;5888;5890;5892;5893;5916;5918;5919;5923;5925;5965;5981;5982;6002;6021;6044;6120;6208;6287;6288;6303;6374;6617;6677;6732;6745;6749;6796;6800;6812;6953;7012;7028;7142;7199;7223;7251;7286;7319;7340;7366;7416;7468;7488;7547;7551;7553;7562;7563;7564;7573;7586;7625;7637;7639;7726;7826;7859;7897;7928;7980;7994;7997;8012;8059;8093;8098;8103;8152;8167;8200;8201;8413;8414;8523;8630;8684;8725;8913;8915;8958;8979;8988;9011;9023;9070;9128;9136;9153;9224;9242;9244;9298;9327;9390;9417;9449;9507;9549;9551;9560;9680;9692;9836;9852;9891;9892;9894;9919;9933;9940;9941;9953;9954;9959;9960;9962;9993;10001;10159;10163;10228;10442;10611;10623;10835;10958;10983;11058;11259;11348;11372;11380;11410;11414;11520;11587;11649;11963;11979;12004;12005;12049;12050;12092;12098;12181;12474;12572;12579;12602;12793;12894;12923;12942;12960;12966;12967;12971;12985;12986;12997;13028;13031;13056;13194;13247;13262;13300;13356;13418;13450;13500;13529;13552;13655;13694;13762;13767;13784;13802;13893;13894;13895;13942;13943;14031;14033;14051;14087;14103;14109;14144;14157;14158;14160;14176;14187;14188;14189;14190;14328;14384;14404;14407;14413;14415;14492;14497;14522;14530;14531;14533;14534;14535;14536;14537;14538;14539;14541;14588;14648;14690;14717;14746;14796;14804;14805;14812;14817;14836;14837;14841;14878;14916;14925;14942;14943;14944;14956;14963;14964;14985;14986;15008;15013;15017;15019;15024;15034;15036;15037;15038;15039;15040;15041;15046;15064;15078;15084;15165;15176;15193;15285;15290;15291;15372;15455;15616;15617;15621;15634;15636;15637;15639;15640;15679;15843;15863;15868;15883;15890;15897	27;93;340;341;453;598;599;600;601;669;676;677;678;685;686;861;1034;1060;1061;1133;1134;1536;1584;1593;1739;1750;1751;1752;1753;2375;2560;2561;2562;2868;2869;2916;3145;3146;3177;3192;3193;3194;3197;3198;3199;3381;3470;3477;3486;3487;3593;3594;3600;3601;3700;3701;3708;3709;3890;4165;4168;4249;4250;4507;4508;4509;4510;4511;4512;4513;4514;4515;4516;4576;4608;4612;4636;4833;5034;5035;5041;5042;5045;5046;5047;5054;5055;5056;5194;5244;5245;5940;5941;6287;6485;6884;6885;7192;7203;7359;7411;7412;7494;7552;7653;7660;7661;7961;8028;8029;8163;8321;8341;8483;8644;8788;8789;8810;8926;8927;9102;9110;9111;9112;9162;9163;9212;9213;9495;9496;9564;9565;9566;9567;9713;9714;9955;9987;10000;10014;10070;10074;10075;10076;10190;10284;10285;10286;10351;10470;10471;10476;10484;10485;10486;10487;10536;10537;10539;10815;10935;10936;10937;11115;11386;11418;11498;11540;11968;12097;12098;12529;12702;12747;12859;12909;12910;12923;12980;13073;13519;13637;13638;13653;13654;13675;14304;14305;14313;14328;14329;14336;14337;14338;14339;14347;14652;14653;14654;14915;14916;15038;15210;15211;15398;15399;15400;15407;15408;15548;15549;15550;15551;15554;15559;15560;15561;15604;15605;15608;15609;15617;15619;15731;15732;15733;15768;15769;15770;15771;15772;15773;15813;15856;15857;15910;16143;16144;16389;16599;16600;16601;16602;16603;16634;16848;16849;16850;17447;17448;17603;17604;17605;17722;17741;17747;17853;17860;17887;18267;18451;18490;18770;18771;18895;18896;18966;19033;19034;19035;19124;19194;19257;19258;19318;19319;19441;19442;19587;19588;19627;19770;19777;19779;19808;19809;19810;19811;19812;19813;19838;19839;19840;19874;19979;20001;20002;20005;20006;20233;20234;20437;20438;20505;20610;20672;20789;20815;20820;20853;20854;20949;21017;21023;21034;21124;21153;21237;21238;21735;21736;21737;21738;22100;22343;22455;22456;22568;23125;23126;23128;23129;23230;23282;23283;23300;23301;23302;23364;23365;23395;23494;23495;23640;23657;23658;23699;23700;23916;23960;23963;23964;24118;24119;24252;24253;24425;24491;24593;24750;24751;24835;24836;24840;24841;24842;24865;25167;25199;25516;25549;25660;25661;25662;25664;25743;25744;25776;25790;25791;25792;25793;25794;25827;25828;25829;25837;25838;25841;25929;25943;25944;26410;26411;26412;26419;26420;26553;27075;27076;27541;27561;28098;28402;28464;28639;29145;29146;29350;29351;29407;29421;29484;29497;29723;29870;30010;30754;30755;30805;30857;30858;30859;30954;30955;31036;31050;31283;31284;31285;32063;32418;32419;32438;32439;32440;32480;32986;33213;33300;33339;33340;33382;33395;33396;33397;33404;33439;33440;33466;33555;33561;33619;33936;34052;34079;34166;34323;34505;34594;34595;34731;34790;34844;35090;35181;35340;35349;35394;35430;35760;35761;35762;35763;35764;35879;35880;36185;36188;36248;36356;36390;36391;36413;36500;36533;36534;36535;36537;36575;36595;36596;36597;36598;36599;36600;36601;36602;36946;37091;37147;37148;37153;37171;37175;37437;37444;37486;37507;37508;37513;37514;37515;37516;37517;37518;37519;37520;37521;37522;37523;37524;37526;37527;37634;37791;37909;37972;38034;38189;38207;38208;38209;38222;38234;38235;38236;38287;38288;38289;38290;38300;38419;38518;38537;38570;38571;38572;38573;38601;38602;38616;38617;38618;38662;38663;38735;38741;38752;38753;38754;38755;38758;38767;38795;38796;38797;38800;38801;38802;38803;38804;38805;38806;38807;38808;38809;38821;38871;38919;38920;38932;39181;39206;39207;39241;39242;39476;39488;39489;39490;39682;39859;40378;40379;40388;40419;40420;40422;40423;40426;40427;40428;40550;40898;40944;40945;40959;40983;40999;41030;41031	27;92;358;479;634;635;705;710;711;712;718;719;893;1078;1103;1104;1170;1171;1620;1674;1683;1843;1857;1858;1859;1860;1861;2524;2716;2717;2718;3022;3023;3081;3326;3327;3356;3368;3369;3372;3373;3374;3550;3644;3651;3657;3658;3775;3776;3782;3783;3877;3887;3888;3889;4092;4367;4370;4462;4463;4464;4725;4726;4727;4728;4729;4730;4731;4732;4733;4734;4797;4829;4833;4855;5063;5278;5279;5283;5284;5285;5289;5290;5291;5298;5442;5443;5444;5493;5494;6208;6587;6793;7197;7198;7524;7534;7535;7699;7753;7754;7844;7912;7913;8029;8038;8039;8356;8357;8428;8429;8583;8769;8789;8944;9113;9255;9274;9387;9388;9570;9578;9579;9642;9643;9694;9964;9965;10033;10034;10035;10036;10211;10212;10469;10503;10513;10525;10585;10589;10590;10591;10710;10803;10804;10805;10806;10884;11003;11004;11008;11016;11017;11018;11019;11066;11068;11361;11497;11498;11694;11978;11979;12010;12088;12133;12571;12705;12706;13177;13354;13398;13519;13566;13575;13624;13725;14199;14330;14331;14344;14345;14346;14368;15018;15019;15020;15021;15022;15030;15046;15047;15055;15056;15057;15058;15064;15371;15372;15640;15756;15941;15942;15943;16125;16126;16127;16132;16133;16134;16135;16263;16264;16265;16267;16271;16272;16273;16321;16322;16323;16325;16326;16337;16339;16452;16453;16454;16491;16492;16493;16494;16495;16496;16497;16538;16580;16581;16638;16891;16892;17137;17357;17358;17359;17360;17361;17393;17643;17644;18250;18251;18414;18415;18416;18539;18559;18565;18683;18690;18718;19072;19251;19296;19580;19690;19691;19759;19760;19833;19834;19835;19929;20005;20071;20072;20143;20144;20280;20281;20437;20438;20479;20480;20631;20639;20641;20675;20676;20677;20678;20679;20698;20699;20700;20734;20735;20850;20875;20876;20877;20879;20880;21100;21330;21405;21509;21577;21704;21728;21732;21765;21766;21867;21868;21944;21951;21961;22067;22098;22193;22194;22682;22683;22684;23118;23372;23483;23484;23602;24181;24182;24184;24185;24286;24338;24339;24359;24360;24430;24431;24459;24569;24570;24732;24749;24750;24793;25043;25083;25085;25086;25087;25263;25264;25404;25576;25639;25754;25755;25917;25918;26011;26012;26017;26046;26354;26393;26720;26751;26875;26876;26877;26879;26954;26955;26956;26988;27000;27001;27002;27003;27004;27038;27039;27048;27049;27050;27051;27054;27055;27145;27156;27157;27654;27661;27662;27781;28300;28727;28748;29303;29621;29683;29871;30399;30618;30619;30687;30705;30768;30781;31006;31007;31170;31313;31314;32041;32093;32094;32146;32147;32231;32232;32233;32325;32339;32550;32551;32552;33360;33727;33728;33749;33750;33788;34291;34538;34616;34652;34653;34654;34655;34690;34705;34706;34707;34718;34754;34755;34779;34860;34865;34866;34923;35254;35365;35390;35493;35649;35834;35835;35929;36073;36133;36188;36444;36535;36705;36713;36714;36751;36785;37149;37150;37151;37152;37153;37154;37155;37156;37274;37275;37600;37602;37661;37775;37807;37808;37809;37837;37925;37960;37961;37962;37964;38003;38030;38031;38032;38033;38034;38035;38036;38037;38038;38390;38525;38588;38593;38608;38612;38904;38910;38952;38972;38973;38974;38980;38981;38982;38983;38984;38985;38986;38987;38988;38990;38991;39102;39273;39394;39455;39515;39679;39699;39700;39701;39702;39714;39724;39725;39726;39785;39786;39787;39788;39800;39951;40063;40080;40114;40115;40116;40117;40148;40149;40150;40161;40162;40163;40206;40207;40266;40273;40289;40290;40294;40304;40305;40333;40334;40335;40337;40338;40339;40340;40341;40342;40343;40344;40345;40346;40347;40362;40410;40460;40461;40470;40743;40773;40805;40806;40807;41050;41064;41065;41066;41067;41275;41448;42019;42020;42021;42031;42061;42063;42064;42065;42067;42068;42069;42070;42178;42538;42539;42585;42586;42597;42623;42637;42664;42665	27;92;358;479;634;705;710;711;719;893;1078;1103;1170;1171;1620;1674;1683;1843;1857;1859;1861;2524;2716;2717;3023;3081;3327;3356;3368;3373;3550;3644;3651;3657;3776;3783;3877;3887;4092;4367;4370;4463;4728;4730;4733;4797;4829;4833;4855;5063;5278;5285;5289;5290;5298;5442;5494;6208;6587;6793;7197;7524;7534;7699;7753;7844;7912;8029;8038;8356;8429;8583;8769;8789;8944;9113;9255;9274;9388;9570;9578;9579;9643;9694;9964;10036;10211;10469;10503;10513;10525;10585;10589;10591;10710;10804;10805;10884;11003;11004;11008;11016;11019;11066;11068;11361;11498;11694;11979;12010;12088;12133;12571;12705;13177;13354;13398;13519;13566;13575;13624;13725;14199;14331;14345;14368;15021;15030;15047;15055;15057;15058;15064;15371;15640;15756;15942;16126;16135;16263;16264;16267;16271;16273;16322;16325;16326;16337;16339;16452;16491;16497;16538;16580;16638;16892;17137;17357;17360;17393;17643;18251;18415;18539;18559;18565;18683;18690;18718;19072;19251;19296;19580;19691;19759;19833;19929;20005;20071;20144;20280;20437;20480;20631;20639;20641;20675;20678;20679;20698;20734;20850;20877;20879;21100;21330;21405;21509;21577;21704;21728;21732;21765;21867;21944;21951;21961;22067;22098;22193;22194;22682;22684;23118;23372;23483;23602;24181;24185;24286;24339;24359;24431;24459;24570;24732;24750;24793;25043;25083;25086;25264;25404;25576;25639;25754;25918;26011;26017;26046;26354;26393;26720;26751;26875;26877;26879;26956;26988;27000;27004;27038;27039;27051;27055;27145;27156;27654;27661;27781;28300;28727;28748;29303;29621;29683;29871;30399;30618;30687;30705;30768;30781;31007;31170;31314;32041;32094;32146;32147;32232;32233;32325;32339;32550;33360;33728;33750;33788;34291;34538;34616;34655;34690;34705;34707;34718;34754;34755;34779;34860;34866;34923;35254;35365;35390;35493;35649;35834;35929;36073;36133;36188;36444;36535;36705;36714;36751;36785;37150;37154;37156;37274;37275;37600;37602;37661;37775;37807;37837;37925;37960;37962;37964;38003;38030;38034;38036;38038;38390;38525;38588;38593;38608;38612;38904;38910;38952;38972;38974;38980;38981;38983;38985;38986;38987;38988;38990;39102;39273;39394;39455;39515;39679;39699;39702;39714;39724;39785;39788;39800;39951;40063;40080;40114;40116;40117;40148;40161;40163;40206;40207;40266;40273;40289;40294;40304;40335;40339;40340;40341;40342;40344;40346;40362;40410;40461;40470;40743;40773;40805;41050;41065;41067;41275;41448;42019;42021;42031;42061;42064;42065;42068;42069;42178;42539;42585;42597;42623;42637;42664	1	33584	-1;-1;-1
A2ATU0	A2ATU0	3	3	3	"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial"	Dhtkd1	"sp|A2ATU0|DHTK1_MOUSE Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial OS=Mus musculus OX=10090 GN=Dhtkd1 PE=1 SV=1"	1	3	3	3	4.3	4.3	4.3	102.79	921	921	4.5				2	2				0	7.8657	2039200	1087200	1997900	954960	956360	786790	16491	817430	906310	1380500	1922400	1015500	2020100	977000	1000600	813500	95087	861230	847620	1312100	3	3	3	3	3	3	3	3	3	3	418250000	3				9	151;5900;6059	True;True;True	162;6262;6430	425;16543;16544;16996	449;17301;17790	449;17301;17790			-1
