Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AGE	Peptides FPS	Razor + unique peptides AGE	Razor + unique peptides FPS	Unique peptides AGE	Unique peptides FPS	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Identification type AGE	Identification type FPS	Reporter intensity corrected 1 AGE	Reporter intensity corrected 2 AGE	Reporter intensity corrected 3 AGE	Reporter intensity corrected 4 AGE	Reporter intensity corrected 5 AGE	Reporter intensity corrected 6 AGE	Reporter intensity corrected 7 AGE	Reporter intensity corrected 8 AGE	Reporter intensity corrected 9 AGE	Reporter intensity corrected 10 AGE	Reporter intensity corrected 11 AGE	Reporter intensity corrected 1 FPS	Reporter intensity corrected 2 FPS	Reporter intensity corrected 3 FPS	Reporter intensity corrected 4 FPS	Reporter intensity corrected 5 FPS	Reporter intensity corrected 6 FPS	Reporter intensity corrected 7 FPS	Reporter intensity corrected 8 FPS	Reporter intensity corrected 9 FPS	Reporter intensity corrected 10 FPS	Reporter intensity corrected 11 FPS	Reporter intensity 1 AGE	Reporter intensity 2 AGE	Reporter intensity 3 AGE	Reporter intensity 4 AGE	Reporter intensity 5 AGE	Reporter intensity 6 AGE	Reporter intensity 7 AGE	Reporter intensity 8 AGE	Reporter intensity 9 AGE	Reporter intensity 10 AGE	Reporter intensity 11 AGE	Reporter intensity 1 FPS	Reporter intensity 2 FPS	Reporter intensity 3 FPS	Reporter intensity 4 FPS	Reporter intensity 5 FPS	Reporter intensity 6 FPS	Reporter intensity 7 FPS	Reporter intensity 8 FPS	Reporter intensity 9 FPS	Reporter intensity 10 FPS	Reporter intensity 11 FPS	Reporter intensity count 1 AGE	Reporter intensity count 2 AGE	Reporter intensity count 3 AGE	Reporter intensity count 4 AGE	Reporter intensity count 5 AGE	Reporter intensity count 6 AGE	Reporter intensity count 7 AGE	Reporter intensity count 8 AGE	Reporter intensity count 9 AGE	Reporter intensity count 10 AGE	Reporter intensity count 11 AGE	Reporter intensity count 1 FPS	Reporter intensity count 2 FPS	Reporter intensity count 3 FPS	Reporter intensity count 4 FPS	Reporter intensity count 5 FPS	Reporter intensity count 6 FPS	Reporter intensity count 7 FPS	Reporter intensity count 8 FPS	Reporter intensity count 9 FPS	Reporter intensity count 10 FPS	Reporter intensity count 11 FPS	Sequence coverage AGE [%]	Sequence coverage FPS [%]	Intensity	Intensity AGE	Intensity FPS	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
A0A0G2JTR4;F1LXF1	A0A0G2JTR4	6;1	6;1	6;1			sp|A0A0G2JTR4|ABR_RAT Active breakpoint cluster region-related protein OS=Rattus norvegicus OX=10116 GN=Abr PE=1 SV=2	2	6	6	6	6	3	6	3	6	3	9.9	9.9	9.9	97.692	859	859;1062	5.57	2		1		3	2	2	4	0	53.863	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	2658000	2968900	41936	3004600	34137	3077900	3165800	3256600	3072900	4331200	3605900	0	0	0	0	0	0	0	0	0	0	0	2475100	2770400	222700	3063800	114000	3135100	3044600	3334200	3149100	4185800	3461900	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	9.9	3.6	5623000000	2287100000	3335900000	12				0	1059;5945;6021;6034;8068;11452	True;True;True;True;True;True	1093;6135;6214;6227;8312;11852	5671;31823;31824;31825;31826;32277;32278;32279;32280;32281;32338;42567;59285;59286	6032;6033;6034;33634;33635;34095;34096;34097;34156;44727;62081;62082	6032;33634;34095;34156;44727;62081			-1;-1
A0A0G2JV04	A0A0G2JV04	3	3	3			sp|A0A0G2JV04|GGA3_RAT ADP-ribosylation factor-binding protein GGA3 OS=Rattus norvegicus OX=10116 GN=Gga3 PE=1 SV=1	1	3	3	3	3	3	3	3	3	3	4.5	4.5	4.5	78.758	727	727	4.29	3	2		2	3		2	2	0	17.827	By MS/MS	By MS/MS	7074700	7091600	26476	0	6511800	6909600	7801800	8447700	5749900	8107900	6288700	8265200	7903400	25990	7738500	90027	10910000	10222000	10701000	10343000	11791000	9286400	6587400	6590200	603330	479130	6277900	6639100	7782700	8501200	5958400	7932600	6049800	7695400	7374100	541910	7953600	339170	10914000	9842700	10923000	10479000	11471000	8990900	2	2	2	0	2	2	2	2	2	2	2	3	3	1	3	3	3	3	3	3	3	3	4.5	4.5	1357500000	759120000	598410000	8				1	260;3254;6677	True;True;True	267;3354;6886	1485;1486;1487;17138;17139;17140;17141;17142;17143;35705;35706;35707;35708;35709	1627;18190;18191;18192;18193;18194;37815;37816	1627;18190;37816			-1
A0A0G2K2P5	A0A0G2K2P5	27	27	27			sp|A0A0G2K2P5|ZO1_RAT Tight junction protein ZO-1 OS=Rattus norvegicus OX=10116 GN=Tjp1 PE=1 SV=1	1	27	27	27	24	25	24	25	24	25	21.6	21.6	21.6	197.15	1765	1765	3.98	16	9	12	15	9	4	5	11	0	277.91	By MS/MS	By MS/MS	5848100	15410000	778560	92235	15826000	28320000	31143000	47157000	45007000	47121000	46679000	17112000	18186000	120030	16851000	132680	22854000	22882000	38080000	37370000	47273000	36897000	5445800	14322000	1350200	1372300	15264000	27176000	30722000	46995000	45240000	46022000	44978000	15934000	16964000	1267800	17191000	440450	22950000	22058000	38224000	37366000	45791000	35608000	2	3	3	2	3	5	5	7	7	7	7	3	3	2	3	3	5	5	7	7	7	7	19	20.3	21167000000	10784000000	10383000000	85				2	183;367;1203;1850;2115;2306;2383;2692;3055;3785;3856;3995;4832;4876;6121;6583;7499;9323;9721;11278;11623;12048;12142;13600;13688;14350;14642	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	186;378;1248;1912;2184;2380;2457;2777;3148;3904;3977;4119;4976;5023;6317;6788;7727;9667;10074;11675;12027;12468;12565;14069;14159;14835;15134	1041;1042;2059;2060;2061;6461;6462;6463;6464;9953;9954;9955;11285;11286;12216;12602;12603;14182;14183;14184;16093;16094;20067;20068;20069;20070;20448;21198;21199;21200;21201;25553;25554;25790;25791;25792;25793;25794;25795;25796;25797;25798;25799;25800;32824;32825;32826;32827;35086;35087;35088;35089;35090;39876;39877;39878;39879;49242;50949;50950;58414;58415;58416;58417;60198;62545;62546;63243;63244;63245;71573;71574;71575;71576;72101;72102;72103;75379;75380;75381;77031	1152;1153;2266;2267;2268;2269;2270;6820;6821;6822;6823;6824;6825;6826;10577;10578;10579;12033;12034;13021;13417;15129;15130;15131;15132;15133;17102;17103;17104;17105;21361;21362;21363;21364;21764;22541;22542;22543;22544;27037;27038;27263;27264;27265;27266;27267;27268;27269;27270;27271;34671;34672;34673;37133;37134;37135;37136;37137;37138;41960;41961;41962;51593;53374;61155;61156;61157;61158;61159;63054;65522;65523;66313;66314;75221;75222;75223;75799;75800;75801;75802;79238;79239;79240;80991	1153;2269;6826;10578;12033;13021;13417;15130;17105;21361;21764;22542;27037;27266;34671;37136;41960;51593;53374;61157;63054;65522;66313;75222;75799;79238;80991			-1
A0JPJ7	A0JPJ7	16	16	16	Obg-like ATPase 1	Ola1	sp|A0JPJ7|OLA1_RAT Obg-like ATPase 1 OS=Rattus norvegicus OX=10116 GN=Ola1 PE=2 SV=1	1	16	16	16	13	15	13	15	13	15	49	49	49	44.535	396	396	4.33	12	4	10	7	3		7	12	0	156.56	By MS/MS	By MS/MS	27483000	34467000	311890	70126	34691000	36309000	51045000	50738000	46722000	48610000	47976000	51699000	49736000	292160	45449000	538440	48300000	46741000	50310000	50706000	57170000	44861000	25591000	32030000	2539000	2235600	33422000	35033000	50788000	50795000	47766000	47563000	46242000	48139000	46393000	3842000	46567000	1552200	49074000	45119000	51255000	51204000	55552000	43457000	4	4	3	1	4	6	6	6	6	6	6	6	6	6	6	6	8	8	8	8	8	8	40.4	45.7	22423000000	12815000000	9607200000	60				3	413;1675;2989;3956;5067;5613;5667;5885;6290;7623;9079;10534;11411;11608;14260;14496	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	425;1733;3079;4080;5222;5785;5839;6070;6488;7854;9417;10906;11809;12011;14743;14983	2281;2282;2283;2284;9031;9032;15631;15632;15633;15634;21010;21011;21012;21013;21014;26915;26916;26917;29993;29994;29995;29996;29997;29998;29999;30273;30274;31530;31531;31532;33678;33679;40483;40484;48133;54592;54593;54594;54595;54596;54597;54598;54599;59041;59042;59043;59044;59045;59046;59047;59048;59049;60007;74959;76202	2503;2504;2505;2506;2507;9571;9572;16622;16623;16624;16625;16626;22351;22352;22353;22354;22355;28488;28489;28490;31718;31719;31720;31721;31722;32035;32036;33331;33332;35567;35568;42590;42591;42592;42593;50427;57153;57154;57155;57156;57157;57158;57159;57160;57161;57162;61835;61836;61837;61838;61839;61840;61841;61842;61843;61844;61845;62814;78804;80103	2503;9571;16624;22351;28490;31718;32035;33331;35568;42592;50427;57157;61835;62814;78804;80103			-1
A0JPM9	A0JPM9	9	9	9	Eukaryotic translation initiation factor 3 subunit J	Eif3j	sp|A0JPM9|EIF3J_RAT Eukaryotic translation initiation factor 3 subunit J OS=Rattus norvegicus OX=10116 GN=Eif3j PE=1 SV=1	1	9	9	9	8	9	8	9	8	9	47.5	47.5	47.5	29.187	259	259	3.09	11	13	8	4	1		2	5	0	146.06	By MS/MS	By MS/MS	16887000	17952000	124690	5509.4	16586000	15803000	20890000	18815000	19977000	18546000	18568000	12163000	11835000	30458	11464000	108810	9858100	10490000	11929000	11429000	12786000	10786000	15724000	16684000	1449900	1459800	16016000	15189000	20936000	18970000	20313000	18124000	17956000	11325000	11042000	861850	11698000	366760	10188000	10127000	12050000	11563000	12452000	10425000	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	39	47.5	15586000000	7433300000	8152800000	38				4	0;1859;4764;6075;6373;7617;10144;12879;13535	True;True;True;True;True;True;True;True;True	0;1921;4907;6270;6572;7848;10503;13320;13997	0;1;2;3;9982;9983;9984;25165;25166;25167;25168;25169;32606;32607;32608;32609;34096;34097;34098;34099;34100;34101;40457;40458;40459;40460;40461;40462;40463;52875;52876;67187;71191;71192;71193;71194;71195;71196;71197;71198;71199;71200;71201;71202	0;1;2;10609;10610;26649;26650;26651;34438;34439;34440;34441;36023;36024;36025;36026;36027;36028;42569;42570;42571;42572;42573;55403;70520;70521;74784;74785;74786;74787;74788;74789;74790;74791;74792;74793;74794;74795	1;10610;26651;34441;36025;42569;55403;70520;74790			-1
A0JPQ9	A0JPQ9	4	4	4	Chitinase domain-containing protein 1	Chid1	sp|A0JPQ9|CHID1_RAT Chitinase domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Chid1 PE=2 SV=2	1	4	4	4	2	4	2	4	2	4	12.5	12.5	12.5	44.874	393	393	2.22	5	2			1	1			0	64.592	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9	12.5	1563700000	658690000	905020000	9				5	277;11531;12458;14011	True;True;True;True	284;11932;12888;14488	1582;1583;59674;59675;59676;59677;59678;64844;73631	1739;1740;62477;62478;62479;62480;62481;67960;77407	1739;62478;67960;77407			-1
A1A5P2	A1A5P2	3	3	3	Ribosome biogenesis regulatory protein homolog	Rrs1	sp|A1A5P2|RRS1_RAT Ribosome biogenesis regulatory protein homolog OS=Rattus norvegicus OX=10116 GN=Rrs1 PE=2 SV=1	1	3	3	3	2	3	2	3	2	3	11.5	11.5	11.5	41.536	365	365	5.75		1			3	1	1	2	0	13.565	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2	11.5	880790000	665800000	214990000	5				6	1857;8138;12344	True;True;True	1919;8398;12772	9978;9979;9980;42973;64203;64204;64205;64206	10607;45146;67272;67273;67274	10607;45146;67272			-1
A1A5R1	A1A5R1	2	2	2	RNA binding protein fox-1 homolog 2	Rbfox2	sp|A1A5R1|RFOX2_RAT RNA binding protein fox-1 homolog 2 OS=Rattus norvegicus OX=10116 GN=Rbfox2 PE=2 SV=1	1	2	2	2	2	2	2	2	2	2	9.5	9.5	9.5	45.55	432	432	2.33	2	2		2					0	18.036	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5	9.5	1033300000	462770000	570560000	5				7	3904;14234	True;True	4027;14717	20744;20745;74838;74839;74840;74841	22072;78673;78674;78675;78676	22072;78673			-1
A1A5S1	A1A5S1	6	6	6	Pre-mRNA-processing factor 6	Prpf6	sp|A1A5S1|PRP6_RAT Pre-mRNA-processing factor 6 OS=Rattus norvegicus OX=10116 GN=Prpf6 PE=1 SV=1	1	6	6	6	6	6	6	6	6	6	8.6	8.6	8.6	106.76	941	941	3.11	6	4	2		2	2	2		0	43.627	By MS/MS	By MS/MS	6439300	8231300	176980	26718	7973700	7240600	7606900	8161300	8586900	14739000	14363000	0	0	0	0	0	0	0	0	0	3987800	3158000	5997000	7650000	720300	714630	7647100	6952000	7765500	8253500	8683900	14124000	13677000	0	0	0	0	0	0	0	0	0	3730400	2948700	2	2	2	2	2	2	2	2	2	3	3	0	0	0	0	0	0	0	0	0	1	1	8.6	8.6	4460000000	2187000000	2273000000	18				8	117;1516;2747;3066;4943;7769	True;True;True;True;True;True	119;1572;2833;3159;5096;8001	630;631;8133;8134;8135;8136;14432;14433;16153;16154;16155;16156;26197;26198;41067;41068;41069;41070	673;674;8598;8599;8600;8601;15389;15390;17168;17169;17170;17171;17172;27673;27674;43170;43171;43172	674;8600;15389;17171;27673;43170			-1
A1EC95	A1EC95	1	1	1	HEAT repeat-containing protein 6	Heatr6	sp|A1EC95|HEAT6_RAT HEAT repeat-containing protein 6 OS=Rattus norvegicus OX=10116 GN=Heatr6 PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	1.4	1.4	1.4	136.5	1252	1252	1	2								0	10.47	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	1.4	99787000	46404000	53383000	1				9	10715	True	11096	55559;55560	58165	58165			-1
